匀速步行,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
6.05,11.18,-13.98,-24.43,11.05,-11.48,-0.2208862,-2.870445,1.354568
6.05,11.18,-13.98,-24.43,11.05,-11.48,-0.2208862,-2.870445,1.354568
6.05,11.18,-13.98,-24.43,11.05,-11.48,-0.4402466,-3.19162,1.815689
6.07,11.92,-11.32,-24.87,12.57,-7.46,-0.7781677,-3.319733,2.18074
6.07,11.92,-11.32,-24.87,12.57,-7.46,-0.7781677,-3.319733,2.18074
5.35,15.31,-11.41,-24.75,14.6,-5.36,-1.038849,-3.397545,2.374458
4.14,18.48,-4.86,-24.59,20.53,-7.09,-1.029205,-3.525185,2.400597
4.14,18.48,-4.86,-24.59,20.53,-7.09,-0.7070313,-3.608566,2.309662
4.14,18.48,-4.86,-24.59,20.53,-7.09,-0.7070313,-3.608566,2.309662
4.14,18.48,-4.86,-24.59,20.53,-7.09,-0.156189,-3.605324,2.213936
0.04,24.86,-1.18,-23.62,22.77,-3.2,0.4839973,-3.525513,2.186905
0.04,24.86,-1.18,-23.62,22.77,-3.2,0.4839973,-3.525513,2.186905
-2.92,30.52,2.71,-20.36,22.94,-4.63,1.058279,-3.41391,2.230988
-6.22,39.78,3.21,-17.92,26.25,-9.3,1.472869,-3.308777,2.264542
-6.22,39.78,3.21,-17.92,26.25,-9.3,1.688546,-3.261299,2.210693
-6.22,39.78,3.21,-17.92,26.25,-9.3,1.688546,-3.261299,2.210693
-6.22,39.78,3.21,-17.92,26.25,-9.3,1.768435,-3.331863,2.013191
-12.62,49.14,7.54,-15.13,25.39,-10.45,1.83164,-3.423531,1.826973
-15.31,56.51,2.66,-10.39,21.89,-11.45,1.975543,-3.518837,1.615089
-15.31,56.51,2.66,-10.39,21.89,-11.45,1.975543,-3.518837,1.615089
-17.59,59.74,-5.47,-8.37,21.33,-12.61,2.162714,-3.483337,1.376488
-17.59,59.74,-5.47,-8.37,21.33,-12.61,2.335742,-3.294212,1.134514
-17.59,59.74,-5.47,-8.37,21.33,-12.61,2.335742,-3.294212,1.134514
-21.37,63.59,-11.41,-6.51,19.91,-12.44,2.451611,-3.049858,0.9597473
-21.37,63.59,-11.41,-6.51,19.91,-12.44,2.489693,-2.877274,0.8589783
-23.12,62.2,-14.63,-2.83,16.53,-12.48,2.456366,-2.678772,0.8016968
-23.12,62.2,-14.63,-2.83,16.53,-12.48,2.456366,-2.678772,0.8016968
-23.12,62.2,-14.63,-2.83,16.53,-12.48,2.413208,-2.416954,0.8126984
-24.61,60.76,-18.38,-1.13,14.94,-12.36,2.441844,-2.082863,0.9200363
-24.61,60.76,-18.38,-1.13,14.94,-12.36,2.441844,-2.082863,0.9200363
-25.63,58.11,-28.42,1.97,11.88,-11.9,2.479759,-1.919769,0.9778748
