ChangeSpeed,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-7.86,23.69,-19.82,-21.41,59.46,-4.19,-0.9997253,2.876884,-29.14668
-7.86,23.69,-19.82,-21.41,59.46,-4.19,-1.266541,3.403191,-28.97992
-7.86,23.69,-19.82,-21.41,59.46,-4.19,-1.266541,3.403191,-28.97992
-2.1,18.17,-19.47,-23.89,49.3,-18.96,-1.51709,3.446236,-28.90525
-2.1,18.17,-19.47,-23.89,49.3,-18.96,-1.51709,3.446236,-28.90525
-0.03,16.19,-19.39,-24.53,44.07,-21.07,-1.599091,3.69471,-28.53124
-0.03,16.19,-19.39,-24.53,44.07,-21.07,-1.599091,3.69471,-28.53124
-0.03,16.19,-19.39,-24.53,44.07,-21.07,-2.208374,4.194435,-28.48645
-0.03,16.19,-19.39,-24.53,44.07,-21.07,-2.208374,4.194435,-28.48645
-0.03,16.19,-19.39,-24.53,44.07,-21.07,-2.208374,4.194435,-28.48645
5.62,10.49,-18.74,-21.86,21.54,-19.9,-2.99649,4.433128,-28.92995
5.62,10.49,-18.74,-21.86,21.54,-19.9,-2.99649,4.433128,-28.92995
8.08,8.3,-18.69,-21.38,15.46,-17.12,-2.656616,4.093857,-28.96217
8.08,8.3,-18.69,-21.38,15.46,-17.12,-2.656616,4.093857,-28.96217
8.08,8.3,-18.69,-21.38,15.46,-17.12,-2.561005,3.40966,-28.3573
8.08,8.3,-18.69,-21.38,15.46,-17.12,-2.561005,3.40966,-28.3573
9.18,9.33,-18.63,-23.13,12.54,-11.37,-3.277954,2.811691,-27.83646
9.18,9.33,-18.63,-23.13,12.54,-11.37,-3.277954,2.811691,-27.83646
8.87,11.07,-18.52,-23.98,15.32,-6.38,-3.692383,2.477776,-27.3215
8.87,11.07,-18.52,-23.98,15.32,-6.38,-3.692383,2.477776,-27.3215
8.87,11.07,-18.52,-23.98,15.32,-6.38,-3.692383,2.477776,-27.3215
8.87,11.07,-18.52,-23.98,15.32,-6.38,-3.232788,2.418098,-26.87317
8.87,11.07,-18.52,-23.98,15.32,-6.38,-3.232788,2.418098,-26.87317
6.92,16.95,-16.53,-24.17,26.14,-9.73,-1.917664,2.549706,-25.8912
6.92,16.95,-16.53,-24.17,26.14,-9.73,-1.917664,2.549706,-25.8912
4.96,23.98,-8.95,-22.07,27.4,-10.27,-1.038849,2.578087,-24.94263
4.96,23.98,-8.95,-22.07,27.4,-10.27,-1.038849,2.578087,-24.94263
4.96,23.98,-8.95,-22.07,27.4,-10.27,-0.4576721,2.398514,-23.86193
4.96,23.98,-8.95,-22.07,27.4,-10.27,-0.4576721,2.398514,-23.86193
4.96,23.98,-8.95,-22.07,27.4,-10.27,-0.4576721,2.398514,-23.86193
-4.62,39.57,5.81,-17.69,31.48,-15.4,-0.06427002,1.967972,-22.49051
-4.62,39.57,5.81,-17.69,31.48,-15.4,-0.06427002,1.967972,-22.49051
-8.26,46.12,5.14,-12.14,27.37,-16.56,0.2089865,1.547493,-21.73984
-8.26,46.12,5.14,-12.14,27.37,-16.56,0.2089865,1.547493,-21.73984
-14.76,56.74,0.37,-9.74,25.94,-17.34,0.6404493,1.463478,-21.27142
-14.76,56.74,0.37,-9.74,25.94,-17.34,0.6404493,1.463478,-21.27142
-14.76,56.74,0.37,-9.74,25.94,-17.34,0.923995,1.904953,-21.17117
-14.76,56.74,0.37,-9.74,25.94,-17.34,0.923995,1.904953,-21.17117
-20.18,61.81,-13.43,-3.64,21.52,-18.58,1.09257,2.364449,-21.16044
-20.18,61.81,-13.43,-3.64,21.52,-18.58,1.09257,2.364449,-21.16044
-20.18,61.81,-13.43,-3.64,21.52,-18.58,1.09257,2.364449,-21.16044
-20.18,61.81,-13.43,-3.64,21.52,-18.58,1.163463,2.751076,-21.24263
-20.18,61.81,-13.43,-3.64,21.52,-18.58,1.163463,2.751076,-21.24263
-24.58,61.08,-14.86,-1.46,19.55,-18.49,1.562186,2.883308,-21.28667
-24.58,61.08,-14.86,-1.46,19.55,-18.49,1.562186,2.883308,-21.28667
-26.24,58.83,-25.24,3.28,14.75,-18.3,1.801841,2.5271,-21.6607
-26.24,58.83,-25.24,3.28,14.75,-18.3,1.801841,2.5271,-21.6607
-27.8,50.4,-22.48,5.6,12.2,-17.91,1.979904,2.431145,-22.08989
-27.8,50.4,-22.48,5.6,12.2,-17.91,1.979904,2.431145,-22.08989
-27.8,50.4,-22.48,5.6,12.2,-17.91,1.979904,2.431145,-22.08989
-26.85,37.12,-28.81,11.14,5.54,-16.58,2.611899,2.759956,-22.53283
-26.85,37.12,-28.81,11.14,5.54,-16.58,2.611899,2.759956,-22.53283
-26.85,37.12,-28.81,11.14,5.54,-16.58,2.747844,3.336037,-23.04237
-26.85,37.12,-28.81,11.14,5.54,-16.58,2.747844,3.336037,-23.04237
-25.78,23.45,-20.88,12,4.47,-16.15,2.470304,3.278114,-24.03921
-25.78,23.45,-20.88,12,4.47,-16.15,2.470304,3.278114,-24.03921
-23.99,16.75,-19.32,12.36,4.81,-16.39,2.83779,2.583008,-25.35036
-23.99,16.75,-19.32,12.36,4.81,-16.39,2.83779,2.583008,-25.35036
-24.1,12.65,-16.41,12.68,5.6,-17.15,3.290661,2.328896,-25.9976
-24.1,12.65,-16.41,12.68,5.6,-17.15,3.290661,2.328896,-25.9976
-24.1,12.65,-16.41,12.68,5.6,-17.15,3.290661,2.328896,-25.9976
-25.45,14.96,-15.6,12.46,7.42,-16.67,3.122033,2.483116,-26.51513
-25.45,14.96,-15.6,12.46,7.42,-16.67,3.122033,2.483116,-26.51513
-26.55,17.97,-9.44,12.05,9.77,-16.64,2.208863,2.681084,-27.44981
-26.55,17.97,-9.44,12.05,9.77,-16.64,2.208863,2.681084,-27.44981
-27.14,24.99,-11.76,9.33,12.49,-13.54,1.513083,2.595779,-28.30321
-27.14,24.99,-11.76,9.33,12.49,-13.54,1.513083,2.595779,-28.30321
-26.14,27.4,-11.97,6.25,17.68,-4.74,0.9780972,2.464233,-29.10271
-26.14,27.4,-11.97,6.25,17.68,-4.74,0.9780972,2.464233,-29.10271
-24.66,29.14,-11.59,2.57,25.96,-2.3,0.5541795,2.343262,-29.77882
-24.66,29.14,-11.59,2.57,25.96,-2.3,0.5541795,2.343262,-29.77882
-24.66,29.14,-11.59,2.57,25.96,-2.3,0.5541795,2.343262,-29.77882
-22.4,30.16,-14.28,-4.93,36.26,1.45,0.04267764,2.102638,-30.55862
-22.4,30.16,-14.28,-4.93,36.26,1.45,0.04267764,2.102638,-30.55862
-19.81,32.12,-18.52,-8.37,43.53,3.75,-0.3453369,1.799011,-31.03035
-19.81,32.12,-18.52,-8.37,43.53,3.75,-0.3453369,1.799011,-31.03035
-19.81,32.12,-18.52,-8.37,43.53,3.75,-0.3453369,1.799011,-31.03035
-19.81,32.12,-18.52,-8.37,43.53,3.75,-0.3453369,1.799011,-31.03035
-12.46,26.8,-20.06,-13.62,56.54,-8.69,-0.8338318,1.927017,-31.46474
-12.46,26.8,-20.06,-13.62,56.54,-8.69,-0.8338318,1.927017,-31.46474
-10.41,25.58,-20.32,-18.49,61.62,-14.02,-0.8396912,2.357193,-31.59612
-10.41,25.58,-20.32,-18.49,61.62,-14.02,-0.8396912,2.357193,-31.59612
-10.41,25.58,-20.32,-18.49,61.62,-14.02,-0.8396912,2.357193,-31.59612
-6.54,21.93,-20.22,-20.49,61.5,-23.51,-0.9108276,2.739525,-31.60022
-6.54,21.93,-20.22,-20.49,61.5,-23.51,-0.9108276,2.739525,-31.60022
-6.54,21.93,-20.22,-20.49,61.5,-23.51,-1.18277,2.890244,-31.23258
-6.54,21.93,-20.22,-20.49,61.5,-23.51,-1.18277,2.890244,-31.23258
-4.68,20.24,-19.79,-23.27,61.25,-27.04,-1.180359,3.037544,-30.42032
-4.68,20.24,-19.79,-23.27,61.25,-27.04,-1.180359,3.037544,-30.42032
-0.93,16.78,-19.55,-23.83,61.8,-33.94,-1.75296,3.578041,-29.84151
-0.93,16.78,-19.55,-23.83,61.8,-33.94,-1.75296,3.578041,-29.84151
1.05,15.03,-19.55,-23.16,61.14,-46.86,-2.714844,3.841858,-30.05444
1.05,15.03,-19.55,-23.16,61.14,-46.86,-2.714844,3.841858,-30.05444
1.05,15.03,-19.55,-23.16,61.14,-46.86,-2.714844,3.841858,-30.05444
4.96,11.25,-19.19,-22.26,60.24,-56.72,-2.398376,3.580849,-30.03596
4.96,11.25,-19.19,-22.26,60.24,-56.72,-2.398376,3.580849,-30.03596
6.64,9.65,-18.98,-21.38,50.52,-50.97,-2.08136,3.227219,-29.47442
6.64,9.65,-18.98,-21.38,50.52,-50.97,-2.08136,3.227219,-29.47442
9.08,7.67,-19.03,-22.06,45.45,-46.95,-2.427673,2.7976,-28.87364
9.08,7.67,-19.03,-22.06,45.45,-46.95,-2.427673,2.7976,-28.87364
9.7,7.6,-18.97,-23,33.91,-33.29,-3.153442,2.328705,-28.16211
9.7,7.6,-18.97,-23,33.91,-33.29,-3.153442,2.328705,-28.16211
9.7,7.6,-18.97,-23,33.91,-33.29,-3.153442,2.328705,-28.16211
9.98,8.05,-17.53,-25.17,31.38,-26.3,-3.01001,2.297394,-27.83457
9.98,8.05,-17.53,-25.17,31.38,-26.3,-3.01001,2.297394,-27.83457
9.02,11.79,-18.36,-25.25,28.68,-20.01,-2.313843,2.309479,-27.52846
9.02,11.79,-18.36,-25.25,28.68,-20.01,-2.313843,2.309479,-27.52846
9.02,11.79,-18.36,-25.25,28.68,-20.01,-1.220703,2.172813,-27.10231
9.02,11.79,-18.36,-25.25,28.68,-20.01,-1.220703,2.172813,-27.10231
7.72,15.05,-13.19,-25.13,28.17,-13.02,-0.5890198,2.01178,-26.8596
7.72,15.05,-13.19,-25.13,28.17,-13.02,-0.5890198,2.01178,-26.8596
5.7,21.95,-12.15,-23.46,31.48,-15.5,-0.04092407,1.629036,-26.70843
5.7,21.95,-12.15,-23.46,31.48,-15.5,-0.04092407,1.629036,-26.70843
5.7,21.95,-12.15,-23.46,31.48,-15.5,-0.04092407,1.629036,-26.70843
-7.31,44.1,3.6,-16.49,24.5,-13.45,0.2848289,1.299835,-26.67406
-7.31,44.1,3.6,-16.49,24.5,-13.45,0.2848289,1.299835,-26.67406
-7.31,44.1,3.6,-16.49,24.5,-13.45,0.599345,1.059799,-26.69971
-7.31,44.1,3.6,-16.49,24.5,-13.45,0.599345,1.059799,-26.69971
-10.71,50.39,1.82,-11.22,25.29,-18.5,0.8355525,1.162926,-26.75405
-10.71,50.39,1.82,-11.22,25.29,-18.5,0.8355525,1.162926,-26.75405
-19.14,61.85,-6.57,-7.07,25.65,-21.28,0.9698353,1.94191,-26.54974
-19.14,61.85,-6.57,-7.07,25.65,-21.28,0.9698353,1.94191,-26.54974
-19.14,61.85,-6.57,-7.07,25.65,-21.28,1.002337,2.230293,-26.26482
-19.14,61.85,-6.57,-7.07,25.65,-21.28,1.002337,2.230293,-26.26482
-19.14,61.85,-6.57,-7.07,25.65,-21.28,1.002337,2.230293,-26.26482
-21.5,62.86,-17.54,-5.13,24.23,-21.38,1.133898,2.20414,-26.02171
-21.5,62.86,-17.54,-5.13,24.23,-21.38,1.133898,2.20414,-26.02171
-26.35,57.29,-21.65,0.73,18.65,-20.72,1.455114,1.84568,-26.09351
-26.35,57.29,-21.65,0.73,18.65,-20.72,1.455114,1.84568,-26.09351
-26.35,57.29,-21.65,0.73,18.65,-20.72,1.507399,1.340691,-26.50465
-26.35,57.29,-21.65,0.73,18.65,-20.72,1.507399,1.340691,-26.50465
