上楼梯,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-1.75,1.12,1.78,2.55,-2.99,-0.07,1.996018,0.5658493,48.12076
-1.75,1.12,1.78,2.55,-2.99,-0.07,1.996018,0.5658493,48.12076
-1.76,1.12,1.79,2.53,-3,-0.05,1.991327,0.5629272,48.08459
-1.76,1.12,1.79,2.53,-3,-0.05,1.991327,0.5629272,48.08459
-1.78,1.11,1.82,2.49,-2.98,-0.04,1.989058,0.5793839,48.04779
-1.78,1.11,1.82,2.49,-2.98,-0.04,1.989058,0.5793839,48.04779
-1.79,1.11,1.83,2.46,-2.97,-0.03,1.987672,0.589119,48.0418
-1.79,1.11,1.83,2.46,-2.97,-0.03,1.987672,0.589119,48.0418
-1.79,1.11,1.83,2.46,-2.97,-0.03,1.987672,0.589119,48.0418
-1.8,1.11,1.84,2.44,-2.98,-0.01,1.981549,0.5914917,48.04138
-1.8,1.11,1.84,2.44,-2.98,-0.01,1.981549,0.5914917,48.04138
-1.8,1.11,1.84,2.44,-2.98,-0.01,1.976657,0.601059,48.05365
-1.8,1.11,1.84,2.44,-2.98,-0.01,1.976657,0.601059,48.05365
-1.82,1.07,1.89,2.38,-2.96,0.03,1.978949,0.6122055,48.06171
-1.82,1.07,1.89,2.38,-2.96,0.03,1.978949,0.6122055,48.06171
-1.85,1.08,1.91,2.33,-2.95,0.06,1.979413,0.615097,48.07361
-1.85,1.08,1.91,2.33,-2.95,0.06,1.979413,0.615097,48.07361
-1.85,1.08,1.91,2.33,-2.95,0.06,1.978016,0.6167755,48.0788
-1.85,1.08,1.91,2.33,-2.95,0.06,1.978016,0.6167755,48.0788
-1.92,1.11,1.95,2.28,-2.95,0.1,1.975585,0.6171646,48.08661
-1.92,1.11,1.95,2.28,-2.95,0.1,1.975585,0.6171646,48.08661
-1.95,1.14,1.93,2.24,-2.92,0.11,1.973309,0.6118164,48.11041
-1.95,1.14,1.93,2.24,-2.92,0.11,1.973309,0.6118164,48.11041
-1.95,1.14,1.93,2.24,-2.92,0.11,1.965891,0.5993958,48.1394
