2019_05_13_22_46_37,,杨开智,混合,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-0.32,14.36,-16.33,-21.83,33.89,-22.17,0.586688,-1.835732,-5.384079
-0.32,14.36,-16.33,-21.83,33.89,-22.17,0.5606828,-1.883354,-5.664925
4.59,8.74,-15.37,-21.26,26.42,-24.5,0.9298803,-2.008636,-5.72934
4.59,8.74,-15.37,-21.26,26.42,-24.5,0.9298803,-2.008636,-5.72934
4.59,8.74,-15.37,-21.26,26.42,-24.5,1.285832,-2.096954,-5.574097
6.31,6.19,-14.29,-21.61,16.01,-16.09,1.298652,-2.333618,-5.215637
6.31,6.19,-14.29,-21.61,16.01,-16.09,1.298652,-2.333618,-5.215637
7.24,4.24,-12.77,-22.65,14.79,-14.27,0.916598,-2.53717,-4.707733
7.24,4.24,-12.77,-22.65,14.79,-14.27,0.2797551,-2.767036,-4.145767
7.24,4.24,-12.77,-22.65,14.79,-14.27,-0.3693542,-2.953522,-3.637932
7.24,4.24,-12.77,-22.65,14.79,-14.27,-0.3693542,-2.953522,-3.637932
6.8,4.95,-12.66,-24.1,16.25,-11.47,-0.7874756,-3.112946,-3.252403
6.03,8.4,-14.55,-26.29,22.34,-12.31,-0.7796936,-3.201424,-2.978333
6.03,8.4,-14.55,-26.29,22.34,-12.31,-0.7796936,-3.201424,-2.978333
3.71,13.07,-12.78,-26.38,25.85,-12.34,-0.3392029,-3.221786,-2.707878
3.71,13.07,-12.78,-26.38,25.85,-12.34,0.7003776,-3.216545,-2.148041
1.82,17.73,-11.19,-24.56,27.35,-10.54,1.324269,-3.206375,-1.662498
1.82,17.73,-11.19,-24.56,27.35,-10.54,1.324269,-3.206375,-1.662498
1.82,17.73,-11.19,-24.56,27.35,-10.54,1.747648,-3.207085,-1.128845
-0.93,27.03,-11.68,-22.64,31.82,-15.51,1.951174,-3.19136,-0.5793991
-0.93,27.03,-11.68,-22.64,31.82,-15.51,1.951174,-3.19136,-0.5793991
-7.43,37.02,-0.86,-20.36,32.13,-17.37,1.978231,-3.168274,-0.06987
-7.43,37.02,-0.86,-20.36,32.13,-17.37,1.899062,-3.209076,0.3822403
-10.86,43.85,2.03,-15.02,28.6,-18.54,1.795901,-3.335129,0.7861404
-10.86,43.85,2.03,-15.02,28.6,-18.54,1.795901,-3.335129,0.7861404
-14.07,53,-0.21,-12.53,28,-20.12,1.738157,-3.526833,1.133339
-14.07,53,-0.21,-12.53,28,-20.12,1.764578,-3.689438,1.396942
-19.11,60.05,-2.82,-10.24,26.09,-19.73,1.850528,-3.766029,1.589165
-19.11,60.05,-2.82,-10.24,26.09,-19.73,1.850528,-3.766029,1.589165
-19.11,60.05,-2.82,-10.24,26.09,-19.73,1.989963,-3.441681,1.804283
-21.3,63.08,-7.3,-6.09,22.21,-19.59,2.062307,-3.118797,1.976028
-21.3,63.08,-7.3,-6.09,22.21,-19.59,2.062307,-3.118797,1.976028
-23.28,63.45,-10.96,-3.99,20,-19.08,2.09586,-2.843124,2.160889
-26.34,63.9,-20.79,-1.9,17.7,-18.11,2.08992,-2.595055,2.350975
-26.34,63.9,-20.79,-1.9,17.7,-18.11,2.102099,-2.39827,2.549225
-26.34,63.9,-20.79,-1.9,17.7,-18.11,2.102099,-2.39827,2.549225
-26.34,63.9,-20.79,-1.9,17.7,-18.11,2.148489,-2.265388,2.742401
-27.33,57.18,-19.99,2.32,12.88,-17.18,2.285018,-2.136917,2.884834
-27.33,57.18,-19.99,2.32,12.88,-17.18,2.285018,-2.136917,2.884834
-27.73,52.53,-29.17,4.39,10.46,-16.21,2.708942,-1.918205,3.108765
-27.1,46,-29.59,7.97,6.02,-15.05,3.414196,-1.701591,3.410164
-27.1,46,-29.59,7.97,6.02,-15.05,4.058282,-1.563065,3.756676
-27.1,46,-29.59,7.97,6.02,-15.05,4.058282,-1.563065,3.756676
-27.1,46,-29.59,7.97,6.02,-15.05,4.296657,-1.325027,4.059357
-25.96,38.21,-32.52,9.18,4.4,-14.32,4.098644,-1.219872,4.083847
-25.96,38.21,-32.52,9.18,4.4,-14.32,4.098644,-1.219872,4.083847
-23.85,22.56,-21.59,9.78,3.64,-13.79,3.749664,-1.323013,3.957489
-23.86,17.38,-17.14,9.6,4.89,-13.91,3.609831,-1.588051,3.785812
-23.86,17.38,-17.14,9.6,4.89,-13.91,4.120157,-2.150421,3.527672
-23.86,17.38,-17.14,9.6,4.89,-13.91,4.120157,-2.150421,3.527672
-24.73,14.2,-10.24,9.12,6.82,-14.55,4.72667,-2.519066,3.431305
-24.73,14.2,-10.24,9.12,6.82,-14.55,5.187656,-2.715096,3.453743
-27.33,17.54,-7.71,8.41,9.57,-13.29,5.239192,-2.767311,3.535736
-27.33,17.54,-7.71,8.41,9.57,-13.29,5.239192,-2.767311,3.535736
-28.5,20.75,-6.15,6.03,17.1,-15.08,4.804322,-2.837616,3.580177
-28.5,20.75,-6.15,6.03,17.1,-15.08,4.051085,-2.866989,3.433083
-28.5,20.75,-6.15,6.03,17.1,-15.08,4.051085,-2.866989,3.433083
-28.93,27.73,-6.67,3.89,22.17,-13.04,3.27116,-2.957771,3.099464
-28.93,27.73,-6.67,3.89,22.17,-13.04,2.689644,-3.07782,2.624588
-27.04,29.38,-8.44,0.66,28.7,-10.08,2.372875,-3.234428,2.077667
-27.04,29.38,-8.44,0.66,28.7,-10.08,2.372875,-3.234428,2.077667
-25.24,31.23,-11.17,-6.56,39.37,-0.39,2.237129,-3.505745,1.337807
-22.79,34.07,-15.95,-9.93,49.24,-2.29,2.210014,-3.692924,1.015045
-22.79,34.07,-15.95,-9.93,49.24,-2.29,2.210014,-3.692924,1.015045
-22.79,34.07,-15.95,-9.93,49.24,-2.29,2.168127,-3.881462,0.8137131
-17.5,30.16,-16.83,-12.9,54.58,-2.92,2.085129,-4.043709,0.6837616
-17.5,30.16,-16.83,-12.9,54.58,-2.92,1.99123,-4.128456,0.6277618
-17.5,30.16,-16.83,-12.9,54.58,-2.92,1.99123,-4.128456,0.6277618
-15.16,28.56,-17.25,-16.98,59.53,-4.91,1.936442,-4.099014,0.6353302
-15.16,28.56,-17.25,-16.98,59.53,-4.91,1.913216,-3.88398,0.6122894
-15.16,28.56,-17.25,-16.98,59.53,-4.91,1.913216,-3.88398,0.6122894
-13.13,27.33,-17.3,-18.87,59.95,-6.89,1.915926,-3.543648,0.4819794
-9.42,23.75,-17.05,-22.11,60.43,-16.4,1.965016,-3.223053,0.2720871
-9.42,23.75,-17.05,-22.11,60.43,-16.4,2.059073,-3.013245,0.06150818
-9.42,23.75,-17.05,-22.11,60.43,-16.4,2.059073,-3.013245,0.06150818
-9.42,23.75,-17.05,-22.11,60.43,-16.4,2.130993,-2.951897,-0.1227646
-7.52,21.68,-16.5,-23.15,52.98,-15.53,2.157519,-2.985664,-0.2973251
-3.87,17.84,-15.67,-23.64,48.01,-17.89,2.061121,-2.772232,-0.5994644
-3.87,17.84,-15.67,-23.64,48.01,-17.89,2.061121,-2.772232,-0.5994644
-2.04,15.8,-15.13,-22.84,40.93,-27.2,1.599856,-2.33046,-1.064407
-2.04,15.8,-15.13,-22.84,40.93,-27.2,0.5389014,-2.097801,-1.683823
-2.04,15.8,-15.13,-22.84,40.93,-27.2,0.5389014,-2.097801,-1.683823
-0.27,13.65,-14.48,-21.71,25.71,-18.65,0.3006783,-1.972374,-1.889282
-0.27,13.65,-14.48,-21.71,25.71,-18.65,0.5901977,-1.864182,-1.849548
2.93,10.22,-13.76,-20.78,18.2,-19.43,1.092173,-1.925919,-1.554626
2.93,10.22,-13.76,-20.78,18.2,-19.43,1.092173,-1.925919,-1.554626
4.07,8.88,-13.29,-21.03,13.09,-15.1,1.410943,-2.063202,-1.06649
4.07,8.88,-13.29,-21.03,13.09,-15.1,1.2877,-2.222946,-0.4626999
4.07,8.88,-13.29,-21.03,13.09,-15.1,1.2877,-2.222946,-0.4626999
4.78,8.31,-12.74,-22.04,10.22,-10.46,0.7330461,-2.382919,0.1351624
4.95,8.77,-12.71,-23.41,12.64,-6.55,-0.02706909,-2.524345,0.6324158
4.95,8.77,-12.71,-23.41,12.64,-6.55,-0.6781006,-2.675217,0.9945221
4.95,8.77,-12.71,-23.41,12.64,-6.55,-0.6781006,-2.675217,0.9945221
4.41,10.46,-12.64,-25.65,17.26,-5.29,-0.9101563,-2.79425,1.221573
4.41,10.46,-12.64,-25.65,17.26,-5.29,-0.6088257,-2.882622,1.370369
3.55,15.42,-14.64,-25.61,24.94,-9.65,0.08339297,-2.935074,1.593674
3.55,15.42,-14.64,-25.61,24.94,-9.65,0.08339297,-2.935074,1.593674
2.21,19.52,-8.56,-24.89,28.12,-11.03,0.9067641,-2.904091,1.948318
-2.58,27.35,-4.87,-23.52,30.67,-12.2,1.872871,-2.844955,2.652267
-2.58,27.35,-4.87,-23.52,30.67,-12.2,1.872871,-2.844955,2.652267
-2.58,27.35,-4.87,-23.52,30.67,-12.2,2.180073,-2.80304,3.142273
-2.58,27.35,-4.87,-23.52,30.67,-12.2,2.224974,-2.760757,3.595779
-5.86,33.94,-0.93,-18.51,31.68,-17.79,2.149119,-2.741585,4.005051
-5.86,33.94,-0.93,-18.51,31.68,-17.79,2.149119,-2.741585,4.005051
-12.73,47.27,4.88,-15.89,30.73,-19.24,2.073493,-2.791153,4.352135
-15.84,53.32,4.34,-13.35,29.13,-19.59,2.045283,-2.929497,4.631065
-15.84,53.32,4.34,-13.35,29.13,-19.59,2.045283,-2.929497,4.631065
-15.84,53.32,4.34,-13.35,29.13,-19.59,2.098797,-3.04557,4.826935
-15.84,53.32,4.34,-13.35,29.13,-19.59,2.206952,-3.110565,4.939079
-18.34,59.49,0.42,-9.03,25.85,-20.25,2.318339,-3.06234,4.983246
-18.34,59.49,0.42,-9.03,25.85,-20.25,2.318339,-3.06234,4.983246
-22.29,63.61,-6.69,-7.09,24.18,-20.1,2.410511,-2.755768,4.974358
-23.97,64.46,-11.34,-3.1,20.34,-19.48,2.412974,-2.628784,4.973289
-23.97,64.46,-11.34,-3.1,20.34,-19.48,2.412974,-2.628784,4.973289
-23.97,64.46,-11.34,-3.1,20.34,-19.48,2.320618,-2.289749,4.931389
-23.97,64.46,-11.34,-3.1,20.34,-19.48,2.256321,-2.107559,4.872131
-25.39,60.79,-12.41,-1.07,18.28,-19.09,2.247295,-2.003944,4.788551
-25.39,60.79,-12.41,-1.07,18.28,-19.09,2.247295,-2.003944,4.788551
-27.11,58.73,-22.49,0.88,16.22,-18.32,2.311904,-1.965698,4.625526
-27.25,54.32,-25.25,4.87,11.94,-17.75,2.648356,-1.800888,4.492378
-27.25,54.32,-25.25,4.87,11.94,-17.75,2.648356,-1.800888,4.492378
-27.25,54.32,-25.25,4.87,11.94,-17.75,3.400369,-1.538696,4.478691
-26.87,42.28,-26.65,6.81,9.79,-17.25,4.209536,-1.303062,4.469284
-26.87,42.28,-26.65,6.81,9.79,-17.25,4.653537,-1.01622,4.354904
-26.87,42.28,-26.65,6.81,9.79,-17.25,4.653537,-1.01622,4.354904
-24.89,33.39,-24.95,8.47,7.83,-16.35,4.612339,-0.8410492,4.052612
-24.05,25.58,-21.82,10.74,5.3,-15.71,4.314293,-0.9308319,3.699547
-24.38,14.83,-12.91,10.96,5.43,-15.6,4.1597,-1.206673,3.406548
-24.38,14.83,-12.91,10.96,5.43,-15.6,4.1597,-1.206673,3.406548
